arrest_year,sex,age_cohort,category,neighbourhood
2022,Male,18 to 24,Crimes Against the Person,Annex
2022,Female,35 to 44,Crimes Against the Person,Downtown Yonge East
2022,Male,35 to 44,Other Criminal Code Violations,St Lawrence-East Bayfront-The Islands
2022,Male,65+,Crimes Against Property,Brookhaven-Amesbury
2022,Male,<18,Other Criminal Code Violations,Malvern West
2022,Female,25 to 34,Crimes Against Property,Dovercourt Village
2022,Male,25 to 34,Controlled Drugs and Substances Act,Henry Farm
2022,Male,65+,Crimes Against Property,Weston
2022,Male,35 to 44,Crimes Against the Person,St.Andrew-Windfields
2022,Male,18 to 24,Crimes Against the Person,Downtown Yonge East
2022,Male,25 to 34,Other Criminal Code Violations,Victoria Village
