arrest_year,sex,age_cohort,category,neighbourhood
2020,Male,18 to 24,Crimes Against the Person,Kennedy Park
2016,Male,18 to 24,Other Criminal Code Violations,New Toronto
2019,Female,25 to 34,Crimes Against Property,NSA
2020,Male,25 to 34,Other Criminal Code Violations,Newtonbrook East
2022,Female,35 to 44,Crimes Against Property,Golfdale-Cedarbrae-Woburn
2015,Male,45 to 54,Crimes Against Property,Wellington Place
2014,Male,25 to 34,Crimes Against the Person,Rockcliffe-Smythe
2014,Male,55 to 64,Crimes Against Property,Leaside-Bennington
2016,Male,25 to 34,Crimes Against Property,Forest Hill South
2019,Male,35 to 44,Other Criminal Code Violations,Agincourt South-Malvern West
2019,Male,25 to 34,Crimes Against the Person,South Riverdale
2017,Female,35 to 44,Controlled Drugs and Substances Act,North St.James Town
2019,Male,25 to 34,Crimes Against Property,Junction Area
2014,Male,45 to 54,Crimes Against the Person,Downsview
2016,Male,55 to 64,Criminal Code Traffic,Oakwood Village
2018,Female,18 to 24,Crimes Against Property,Moss Park
2015,Male,<18,Crimes Against Property,Bendale-Glen Andrew
2018,Female,35 to 44,Crimes Against the Person,Edenbridge-Humber Valley
2016,Female,25 to 34,Crimes Against Property,South Eglinton-Davisville
2017,Male,18 to 24,Other Criminal Code Violations,Yonge-Eglinton
2014,Female,55 to 64,Other Criminal Code Violations,West Queen West
2017,Male,45 to 54,Crimes Against the Person,Victoria Village
2020,Male,65+,Crimes Against the Person,Rustic
2019,Female,45 to 54,Crimes Against Property,Don Valley Village
2018,Male,55 to 64,Crimes Against the Person,Rosedale-Moore Park
2019,Male,45 to 54,Other Criminal Code Violations,Eglinton East
2016,Male,55 to 64,Crimes Against the Person,Rustic
2019,Male,45 to 54,Crimes Against the Person,Banbury-Don Mills
2019,Male,<18,Crimes Against the Person,University
2020,Male,25 to 34,Controlled Drugs and Substances Act,Briar Hill-Belgravia
2021,Male,<18,Crimes Against Property,Weston
2016,Female,25 to 34,Crimes Against Property,Taylor-Massey
2020,Male,<18,Crimes Against the Person,Malvern West
2018,Male,18 to 24,Crimes Against the Person,Dorset Park
2015,Male,18 to 24,Criminal Code Traffic,Malvern East
2016,Male,18 to 24,Other Criminal Code Violations,Yonge-Bay Corridor
2020,Female,<18,Crimes Against the Person,Kennedy Park
2017,Male,18 to 24,Crimes Against Property,Palmerston-Little Italy
2021,Male,25 to 34,Crimes Against the Person,Moss Park
2020,Male,25 to 34,Other Criminal Code Violations,Bathurst Manor
2021,Male,18 to 24,Other Criminal Code Violations,St Lawrence-East Bayfront-The Islands
2015,Male,45 to 54,Crimes Against the Person,Mount Dennis
2020,Male,35 to 44,Crimes Against the Person,Cliffcrest
2020,Female,18 to 24,Other Criminal Code Violations,Princess-Rosethorn
2014,Female,18 to 24,Controlled Drugs and Substances Act,Malvern East
2022,Female,18 to 24,Crimes Against Property,Highland Creek
2018,Female,25 to 34,Crimes Against the Person,St Lawrence-East Bayfront-The Islands
2016,Male,45 to 54,Crimes Against the Person,Scarborough Village
2014,Male,45 to 54,Crimes Against the Person,Dorset Park
2018,Male,25 to 34,Criminal Code Traffic,Downsview
2019,Female,<18,Crimes Against Property,Highland Creek
