_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
214,2016,D33,149,Parkwoods-O'Connor Hills (149),Male,18 to 24,Adult,Crimes Against the Person,Other,3
215,2018,D14,162,West Queen West (162),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,7
216,2015,D11,171,Junction-Wallace Emerson (171),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,2
217,2019,D41,125,Ionview (125),Male,25 to 34,Adult,Other Criminal Code Violations,Firearm-Related,1
218,2016,D14,162,West Queen West (162),Male,25 to 34,Adult,Crimes Against the Person,Other,2
219,2014,D11,86,Roncesvalles (86),Female,55 to 64,Adult,Crimes Against Property,Theft Under $5000,2
220,2020,D53,95,Annex (95),Male,65+,Adult,Crimes Against the Person,Sexual Violations,1
221,2014,D32,32,Englemount-Lawrence (32),Male,<18,Youth,Controlled Drugs and Substances Act,Other,2
222,2016,D11,88,High Park North (88),Male,18 to 24,Adult,Crimes Against the Person,Assaults,9
223,2016,D43,157,Bendale South (157),Female,25 to 34,Adult,Crimes Against Property,Other,1
224,2016,D13,107,Oakwood Village (107),Male,65+,Adult,Other Criminal Code Violations,Other,1
225,2016,D12,115,Mount Dennis (115),Male,25 to 34,Adult,Other Criminal Code Violations,Other,13
226,2018,D42,128,Agincourt South-Malvern West (128),Male,35 to 44,Adult,Crimes Against the Person,Sexual Violations,1
227,2018,D11,86,Roncesvalles (86),Female,<18,Youth,Controlled Drugs and Substances Act,Other,1
228,2014,D14,78,Kensington-Chinatown (78),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,5
229,2018,D32,27,York University Heights (27),Male,55 to 64,Adult,Crimes Against Property,Other,1
230,2016,D55,57,Broadview North (57),Male,45 to 54,Adult,Crimes Against the Person,Other,4
231,2015,D22,161,Humber Bay Shores (161),Male,45 to 54,Adult,Crimes Against the Person,Other,2
232,2017,D55,64,Woodbine Corridor (64),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,1
233,2017,D31,155,Downsview (155),Male,35 to 44,Adult,Other Criminal Code Violations,Other,3
234,2016,D32,38,Lansing-Westgate (38),Female,<18,Youth,Crimes Against Property,Other,1
235,2017,D53,56,Leaside-Bennington (56),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,1
236,2021,D51,72,Regent Park (72),Male,18 to 24,Adult,Crimes Against the Person,Robbery,1
237,2015,D31,27,York University Heights (27),Male,25 to 34,Adult,Crimes Against the Person,Other,29
238,2022,D33,47,Don Valley Village (47),Male,35 to 44,Adult,Crimes Against Property,Other,3
239,2015,D41,121,Oakridge (121),Male,65+,Adult,Crimes Against Property,Theft Under $5000,2
240,2021,D32,151,Yonge-Doris (151),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,1
241,2022,D22,20,Alderwood (20),Female,25 to 34,Adult,Crimes Against the Person,Assaults,2
242,2022,D14,165,Harbourfront-CityPlace (165),Female,25 to 34,Adult,Crimes Against the Person,Assaults,10
243,2018,D53,174,South Eglinton-Davisville (174),Female,25 to 34,Adult,Other Criminal Code Violations,Other,1
244,2020,D53,99,Mount Pleasant East (99),Male,55 to 64,Adult,Crimes Against the Person,Assaults,2
245,2016,D55,60,Woodbine-Lumsden (60),Female,<18,Youth,Controlled Drugs and Substances Act,Other,1
246,2021,NSA,NSA,NSA,Male,45 to 54,Adult,Crimes Against the Person,Other,2
247,2014,D14,85,South Parkdale (85),Female,25 to 34,Adult,Criminal Code Traffic,Refuse Sample,1
248,2016,D33,42,Banbury-Don Mills (42),Male,55 to 64,Adult,Other Criminal Code Violations,Other,1
249,2020,D52,165,Harbourfront-CityPlace (165),Female,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
250,2020,D12,23,Pelmo Park-Humberlea (23),Male,25 to 34,Adult,Other Criminal Code Violations,Other,10
251,2018,D43,157,Bendale South (157),Female,35 to 44,Adult,Crimes Against Property,Break and Enter,1
252,2019,D11,111,Rockcliffe-Smythe (111),Male,45 to 54,Adult,Other Criminal Code Violations,Other,1
253,2021,D53,55,Thorncliffe Park (55),Male,55 to 64,Adult,Other Criminal Code Violations,Other,2
254,2015,D41,124,Kennedy Park (124),Male,55 to 64,Adult,Other Criminal Code Violations,Other,9
255,2022,D42,128,Agincourt South-Malvern West (128),Female,<18,Youth,Crimes Against the Person,Other,1
256,2021,D32,37,Willowdale West (37),Female,18 to 24,Adult,Crimes Against the Person,Other,1
257,2018,D55,122,Birchcliffe-Cliffside (122),Male,<18,Youth,Criminal Code Traffic,Fail to Remain,1
258,2020,D52,167,Church-Wellesley (167),Male,18 to 24,Adult,Crimes Against the Person,Other,1
259,2019,D55,70,South Riverdale (70),Female,25 to 34,Adult,Crimes Against the Person,Assaults,8
260,2015,D43,142,Woburn North (142),Male,35 to 44,Adult,Crimes Against Property,Fraud,3
